id,lat,lon,type,name,snap_id
411926585,10.7883778,106.6955568,network_grid,,411926585
411926586,10.7734873,106.7023364,network_grid,,411926586
411926591,10.7616266,106.6897192,network_grid,,411926591
411926594,10.7791968,106.702175,network_grid,,411926594
411926596,10.7797806,106.7040024,network_grid,,411926596
411926606,10.7896952,106.7007533,network_grid,,411926606
411926613,10.772787,106.6954284,network_grid,,411926613
411926617,10.7739958,106.697121,network_grid,,411926617
411926620,10.7736167,106.7028018,network_grid,,411926620
411926622,10.7668561,106.6942946,network_grid,,411926622
411926624,10.7801873,106.7010602,network_grid,,411926624
411926632,10.7704446,106.6920153,network_grid,,411926632
411926638,10.7658757,106.6981643,network_grid,,411926638
411926696,10.7767991,106.6979831,network_grid,,411926696
411926701,10.778525,106.7029239,network_grid,,411926701
411926702,10.7776192,106.7038862,network_grid,,411926702
411926704,10.7894352,106.6985385,network_grid,,411926704
411926705,10.7903735,106.6975106,network_grid,,411926705
411926712,10.7693766,106.6981019,network_grid,,411926712
634134026,10.7652073,106.6818289,network_grid,,634134026
634134030,10.7655926,106.6818746,network_grid,,634134030
676561476,10.7925295,106.6992584,network_grid,,676561476
718834751,10.7950467,106.6887809,network_grid,,718834751
718834755,10.7944825,106.6893637,network_grid,,718834755
728690560,10.7910054,106.7058155,network_grid,,728690560
729523336,10.7930651,106.6974325,network_grid,,729523336
864423474,10.795006,106.6918224,network_grid,,864423474
891508852,10.79467,106.6932549,network_grid,,891508852
1767203801,10.7672511,106.6997734,network_grid,,1767203801
1767909356,10.765631,106.7010057,network_grid,,1767909356
1767909383,10.7657093,106.7010478,network_grid,,1767909383
1767909386,10.7663412,106.700621,network_grid,,1767909386
1767909393,10.7665511,106.7016057,network_grid,,1767909393
1767909417,10.7663531,106.700978,network_grid,,1767909417
1768404126,10.7650936,106.6973026,network_grid,,1768404126
1769173835,10.7707757,106.7063184,network_grid,,1769173835
1769173843,10.7694232,106.7051609,network_grid,,1769173843
1769173868,10.7671087,106.7013496,network_grid,,1769173868
1769173870,10.7682131,106.7023387,network_grid,,1769173870
1769173959,10.7677182,106.7020328,network_grid,,1769173959
1769173982,10.7703529,106.704685,network_grid,,1769173982
1769277421,10.7760291,106.7031197,network_grid,,1769277421
1769277433,10.7763893,106.7027286,network_grid,,1769277433
1769277447,10.7731909,106.7000059,network_grid,,1769277447
1769277472,10.7765708,106.7012198,network_grid,,1769277472
1769277475,10.7761671,106.7029698,network_grid,,1769277475
1769456883,10.7809287,106.697816,network_grid,,1769456883
1769456941,10.7808244,106.6979302,network_grid,,1769456941
1769692389,10.7865968,106.7016177,network_grid,,1769692389
1770193953,10.7811994,106.6975199,network_grid,,1770193953
1771088742,10.7872347,106.7022445,network_grid,,1771088742
1970245478,10.7876142,106.7025996,network_grid,,1970245478
1985346078,10.7765403,106.7025647,network_grid,,1985346078
1985346335,10.758541,106.6852856,network_grid,,1985346335
1996654022,10.764818,106.6991352,network_grid,,1996654022
1996654066,10.7658537,106.7006283,network_grid,,1996654066
1996654189,10.7643008,106.6977426,network_grid,,1996654189
1996654208,10.7646417,106.6988108,network_grid,,1996654208
1996654212,10.7598569,106.6940493,network_grid,,1996654212
1996654360,10.7639857,106.6980282,network_grid,,1996654360
1996654852,10.7674021,106.7022473,network_grid,,1996654852
1996655118,10.7568608,106.6897729,network_grid,,1996655118
1996655226,10.7648501,106.6987998,network_grid,,1996655226
1996655282,10.7652201,106.7002293,network_grid,,1996655282
1996655496,10.763832,106.6981126,network_grid,,1996655496
1996745689,10.758645,106.6924512,network_grid,,1996745689
1998235285,10.7916703,106.6985829,network_grid,,1998235285
1998235317,10.7547344,106.6864111,network_grid,,1998235317
1998452762,10.7671636,106.7015349,network_grid,,1998452762
1998452788,10.7664951,106.7010492,network_grid,,1998452788
1998781538,10.7709258,106.7034182,network_grid,,1998781538
1998781616,10.7709739,106.7024697,network_grid,,1998781616
2024423036,10.7875007,106.7093873,snap_poi,Voi,2024423036
2025938531,10.764404,106.6989721,network_grid,,2025938531
2032267113,10.7708498,106.7025205,network_grid,,2032267113
2032267208,10.7701272,106.6941025,network_grid,,2032267208
2032267286,10.7591379,106.6875384,network_grid,,2032267286
2032267293,10.7707997,106.7034753,network_grid,,2032267293
2032267315,10.7648658,106.6927925,network_grid,,2032267315
2032267326,10.7652402,106.6971322,network_grid,,2032267326
2032267376,10.7662167,106.6963931,network_grid,,2032267376
2032267383,10.7644396,106.6924232,network_grid,,2032267383
2032267441,10.7638073,106.6980181,network_grid,,2032267441
2032267468,10.7608727,106.6889661,network_grid,,2032267468
2032267525,10.7729233,106.7002992,network_grid,,2032267525
2034589230,10.7741513,106.7033318,network_grid,,2034589230
2034589236,10.774251,106.7037193,network_grid,,2034589236
2034589359,10.7709832,106.704232,network_grid,,2034589359
2034589362,10.7688842,106.7037384,network_grid,,2034589362
2036082816,10.7758045,106.7065554,network_grid,,2036082816
2036082840,10.7847301,106.7036877,network_grid,,2036082840
2036082855,10.7747161,106.706182,network_grid,,2036082855
2036082874,10.7835028,106.7051249,network_grid,,2036082874
2036083009,10.7857612,106.708632,network_grid,,2036083009
2036083066,10.7747778,106.7064454,network_grid,,2036083066
